,loannumber,loanamount,totaldue,termdays,bank_account_type,longitude_gps,latitude_gps,employment_status_clients,creationdate_dow,additional_charges,is_referred,age,ploan_loanamount_mean,ploan_loanamount_min,ploan_loanamount_25%,ploan_loanamount_50%,ploan_loanamount_75%,ploan_loanamount_max,ploan_totaldue_mean,ploan_totaldue_min,ploan_totaldue_25%,ploan_totaldue_50%,ploan_totaldue_75%,ploan_totaldue_max,ploan_termdays_mean,ploan_termdays_min,ploan_termdays_25%,ploan_termdays_50%,ploan_termdays_75%,ploan_termdays_max,ploan_approval_time_mean,ploan_approval_time_min,ploan_approval_time_25%,ploan_approval_time_50%,ploan_approval_time_75%,ploan_approval_time_max,ploan_return_days_mean_x,ploan_return_days_min_x,ploan_return_days_25%_x,ploan_return_days_50%_x,ploan_return_days_75%_x,ploan_return_days_max_x,ploan_return_days_mean_y,ploan_return_days_min_y,ploan_return_days_25%_y,ploan_return_days_50%_y,ploan_return_days_75%_y,ploan_return_days_max_y,ploan_first_return_days_mean,ploan_first_return_days_min,ploan_first_return_days_25%,ploan_first_return_days_50%,ploan_first_return_days_75%,ploan_first_return_days_max,ploan_additional charges_mean,ploan_additional charges_min,ploan_additional charges_25%,ploan_additional charges_50%,ploan_additional charges_75%,ploan_additional charges_max,good_bad_flag,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_FCMB,bank_name_clients_Fidelity Bank,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Keystone Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Standard Chartered,bank_name_clients_Sterling Bank,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Unity Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank
10,2.0,10000.0,13000.0,30.0,1.0,7.1233193,4.883499700000001,0.0,0.0,3000.0,0.0,34.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.02,1.02,1.02,1.02,1.02,1.02,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Good,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3.0,10000.0,13000.0,30.0,1.0,3.8210848,7.3326277,0.0,6.0,3000.0,0.0,29.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12250.0,11500.0,11875.0,12250.0,12625.0,13000.0,22.5,15.0,18.75,22.5,26.25,30.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,9.0,16.0,23.0,30.0,37.0,23.0,9.0,16.0,23.0,30.0,37.0,-1.0,-8.0,-4.5,-1.0,2.5,6.0,2250.0,1500.0,1875.0,2250.0,2625.0,3000.0,Bad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2.0,10000.0,11500.0,15.0,1.0,3.1727935,6.6832652999999995,0.0,4.0,1500.0,0.0,52.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,30.0,30.0,30.0,30.0,30.0,30.0,1.02,1.02,1.02,1.02,1.02,1.02,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,11.0,40000.0,44000.0,30.0,0.0,3.3022556000000005,6.636864999999999,0.0,1.0,4000.0,0.0,40.0,24000.0,10000.0,20000.0,25000.0,30000.0,40000.0,27720.0,13000.0,22375.0,29100.0,34400.0,44000.0,28.5,15.0,30.0,30.0,30.0,30.0,1.003,1.0,1.0,1.0,1.0,1.02,26.6,9.0,27.25,29.0,30.0,31.0,26.6,9.0,27.25,29.0,30.0,31.0,0.5,-2.0,-1.0,-1.0,1.75,5.0,3720.0,1900.0,3200.0,3900.0,4400.0,4500.0,Good,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,13.0,40000.0,44000.0,30.0,0.0,3.3526542999999998,6.456208999999999,1.0,1.0,4000.0,0.0,38.0,21666.666666666668,10000.0,10000.0,20000.0,30000.0,40000.0,24575.0,11500.0,12625.0,21900.0,34400.0,44000.0,22.5,15.0,15.0,22.5,30.0,30.0,1.0875,1.0,1.0,1.0,1.0025,2.03,21.5,14.0,14.0,21.0,28.25,31.0,21.5,14.0,14.0,21.0,28.25,31.0,-0.3333333333333333,-1.0,-1.0,-1.0,0.0,3.0,2908.3333333333335,1500.0,1800.0,2450.0,4400.0,4500.0,Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,3.0,10000.0,13000.0,30.0,1.0,3.7003699999999995,7.3943183,0.0,4.0,3000.0,0.0,33.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,27.0,27.5,28.0,28.5,29.0,28.0,27.0,27.5,28.0,28.5,29.0,0.0,-1.0,-0.5,0.0,0.5,1.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3.0,10000.0,11500.0,15.0,0.0,3.3718017999999996,6.5169394,0.0,5.0,1500.0,0.0,36.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12250.0,11500.0,11875.0,12250.0,12625.0,13000.0,22.5,15.0,18.75,22.5,26.25,30.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,14.0,19.5,25.0,30.5,36.0,25.0,14.0,19.5,25.0,30.5,36.0,-4.0,-7.0,-5.5,-4.0,-2.5,-1.0,2250.0,1500.0,1875.0,2250.0,2625.0,3000.0,Good,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2.0,10000.0,11500.0,15.0,1.0,3.3661119,6.597594900000001,0.0,0.0,1500.0,1.0,35.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Bad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,15.0,40000.0,44000.0,30.0,1.0,3.4296002999999997,6.4530244,0.0,2.0,4000.0,0.0,41.0,26428.571428571428,10000.0,20000.0,30000.0,30000.0,40000.0,29717.85714285714,11500.0,22250.0,34400.0,34400.0,44800.0,23.571428571428573,15.0,15.0,30.0,30.0,30.0,1.002857142857143,1.0,1.0,1.0,1.0,1.02,20.785714285714285,3.0,10.5,27.0,29.0,33.0,20.785714285714285,3.0,10.5,27.0,29.0,33.0,1.7142857142857142,-5.0,-1.0,0.5,3.5,12.0,3289.285714285714,1500.0,2250.0,4000.0,4400.0,4800.0,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10.0,30000.0,34500.0,30.0,1.0,7.887637599999999,8.8351164,0.0,5.0,4500.0,0.0,31.0,20000.0,10000.0,10000.0,20000.0,30000.0,30000.0,22611.11111111111,11500.0,11500.0,21900.0,34400.0,34500.0,20.0,15.0,15.0,15.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,16.22222222222222,4.0,7.0,12.0,29.0,33.0,16.22222222222222,4.0,7.0,12.0,29.0,33.0,2.6666666666666665,-2.0,-1.0,1.0,6.0,11.0,2611.1111111111113,1500.0,1500.0,1900.0,4400.0,4500.0,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3.0,10000.0,13000.0,30.0,1.0,3.3453459999999997,6.5617308,0.0,2.0,3000.0,1.0,39.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,30.0,30.0,30.0,30.0,30.0,30.0,1.01,1.0,1.005,1.01,1.0150000000000001,1.02,22.5,16.0,19.25,22.5,25.75,29.0,22.5,16.0,19.25,22.5,25.75,29.0,6.0,-1.0,2.5,6.0,9.5,13.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,2.0,10000.0,11500.0,15.0,1.0,3.5246642,6.659242699999999,0.0,6.0,1500.0,1.0,24.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.02,1.02,1.02,1.02,1.02,1.02,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Bad,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,7.0,25000.0,28750.0,30.0,1.0,7.1694297,9.217406800000001,0.0,3.0,3750.0,0.0,34.0,13333.333333333334,10000.0,10000.0,10000.0,17500.0,20000.0,15020.833333333334,11125.0,11500.0,11500.0,19562.5,22250.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0016666666666667,1.0,1.0,1.0,1.0,1.01,12.833333333333334,0.0,12.25,14.0,17.25,19.0,12.833333333333334,0.0,12.25,14.0,17.25,19.0,1.8333333333333333,-3.0,-1.75,-0.5,1.5,15.0,1687.5,1125.0,1500.0,1500.0,2062.5,2250.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,3.0,10000.0,13000.0,30.0,1.0,3.8701434999999997,7.3979258,0.0,1.0,3000.0,0.0,35.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12250.0,11500.0,11875.0,12250.0,12625.0,13000.0,22.5,15.0,18.75,22.5,26.25,30.0,1.0,1.0,1.0,1.0,1.0,1.0,21.5,14.0,17.75,21.5,25.25,29.0,21.5,14.0,17.75,21.5,25.25,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2250.0,1500.0,1875.0,2250.0,2625.0,3000.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,2.0,10000.0,13000.0,30.0,1.0,3.9809867,7.4239296,0.0,3.0,3000.0,0.0,29.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,25.0,25.0,25.0,25.0,25.0,25.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,3.0,10000.0,13000.0,30.0,1.0,3.3576300000000003,6.668355,0.0,1.0,3000.0,0.0,30.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12250.0,11500.0,11875.0,12250.0,12625.0,13000.0,22.5,15.0,18.75,22.5,26.25,30.0,1.01,1.0,1.005,1.01,1.0150000000000001,1.02,11.5,5.0,8.25,11.5,14.75,18.0,11.5,5.0,8.25,11.5,14.75,18.0,10.0,8.0,9.0,10.0,11.0,12.0,2250.0,1500.0,1875.0,2250.0,2625.0,3000.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,4.0,20000.0,24500.0,30.0,1.0,6.8004083,6.1594432999999995,0.0,5.0,4500.0,0.0,25.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,12.666666666666666,10.0,11.5,13.0,14.0,15.0,12.666666666666666,10.0,11.5,13.0,14.0,15.0,2.3333333333333335,-1.0,1.0,3.0,4.0,5.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Good,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,2.0,10000.0,11500.0,15.0,1.0,3.2205031,6.5319046,0.0,0.0,1500.0,1.0,33.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.02,1.02,1.02,1.02,1.02,1.02,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,5.0,20000.0,22250.0,15.0,1.0,3.479829,6.4489694,0.0,0.0,2250.0,0.0,31.0,12500.0,10000.0,10000.0,10000.0,12500.0,20000.0,15500.0,11500.0,12625.0,13000.0,15875.0,24500.0,26.25,15.0,26.25,30.0,30.0,30.0,1.005,1.0,1.0,1.0,1.005,1.02,21.75,12.0,18.75,21.0,24.0,33.0,21.75,12.0,18.75,21.0,24.0,33.0,3.75,-4.0,2.0,5.5,7.25,8.0,3000.0,1500.0,2625.0,3000.0,3375.0,4500.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,6.0,10000.0,13000.0,30.0,1.0,3.3775809,6.7917153,0.0,1.0,3000.0,0.0,42.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,48.2,26.0,47.0,48.0,56.0,64.0,48.2,26.0,47.0,48.0,56.0,64.0,-19.0,-34.0,-28.0,-18.0,-18.0,3.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Bad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,2.0,10000.0,13000.0,30.0,1.0,3.259777,6.5532982,0.0,3.0,3000.0,0.0,26.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,30.0,30.0,30.0,30.0,30.0,30.0,1.02,1.02,1.02,1.02,1.02,1.02,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,23.0,23.0,23.0,23.0,23.0,23.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Good,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,5.0,20000.0,24500.0,30.0,1.0,7.440147099999999,8.9494179,0.0,4.0,4500.0,0.0,41.0,12500.0,10000.0,10000.0,10000.0,12500.0,20000.0,15875.0,13000.0,13000.0,13000.0,15875.0,24500.0,30.0,30.0,30.0,30.0,30.0,30.0,1.005,1.0,1.0,1.0,1.005,1.02,29.75,29.0,29.75,30.0,30.0,30.0,29.75,29.0,29.75,30.0,30.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3375.0,3000.0,3000.0,3000.0,3375.0,4500.0,Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,10.0,20000.0,24500.0,30.0,0.0,3.4085367999999994,6.4281638,0.0,4.0,4500.0,0.0,32.0,13333.333333333334,10000.0,10000.0,10000.0,20000.0,20000.0,16211.111111111111,11500.0,13000.0,13000.0,21900.0,24500.0,25.0,15.0,15.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,24.333333333333332,12.0,22.0,24.0,30.0,34.0,24.333333333333332,12.0,22.0,24.0,30.0,34.0,-0.1111111111111111,-10.0,-1.0,-1.0,2.0,6.0,2877.777777777778,1500.0,1900.0,3000.0,3000.0,4500.0,Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,4.0,20000.0,24500.0,30.0,1.0,3.2934205000000003,6.640063900000001,0.0,4.0,4500.0,0.0,35.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Good,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2.0,10000.0,13000.0,30.0,1.0,3.3732115,6.56504005,0.0,4.0,3000.0,0.0,41.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,5.0,20000.0,22250.0,15.0,0.0,5.6140915,6.3906691,2.0,0.0,2250.0,0.0,24.0,15000.0,10000.0,10000.0,15000.0,20000.0,20000.0,18750.0,13000.0,13000.0,18750.0,24500.0,24500.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,27.5,24.0,25.5,26.5,28.5,33.0,27.5,24.0,25.5,26.5,28.5,33.0,2.0,-2.0,1.0,2.5,3.5,5.0,3750.0,3000.0,3000.0,3750.0,4500.0,4500.0,Good,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,2.0,10000.0,13000.0,30.0,1.0,3.3594053999999995,6.605608999999999,0.0,5.0,3000.0,1.0,29.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,5.0,5.0,5.0,5.0,5.0,5.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Good,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,2.0,10000.0,11500.0,15.0,1.0,2.957738,6.534212200000001,0.0,1.0,1500.0,0.0,36.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
